Asin,Brand,Title,Price,keywords,Categories,Bestsellers_rank,Rating,Ratings_total,Bundles,Frequently_bought_together,Newer_model,Color,Connectivity_Technology,Printing_Technology,Printer_Output,Maximum_Print_Speed_Color,Weight,Depth,Width,Height,Special_Feature,TotalNo_Special_Feature
B0C9GL9HNC,Greateam,Mini Thermal Printer Sticker Paper for Mini Pocket Printer and Bluetooth Mini Inkless Thermal Sticker Printer  57mm x 30mm Mini Printer Sticker Paper Self Adhesive  Black on White  6 Rolls,15.99,24,Office Products,69532,4.3,19,0,2,0,black on white,bluetooth,other,Color,0,189.945,2.36,2.52,3.62,['57mm x 30mm Mini Sticker Printer Paper Millimeters'],1
B0CJYJFXCF,ACOFWENL,ACOFWENL Mini Printer Inkless Sticker Printer Pocket Mini Thermal Printer Sticker Maker Machine with 8 Rolls Continuous Paper for Photo Journal  Fun  Work,20.99,20,Electronics,129254,3.5,6,0,2,0,white,usb,Thermal,Color,5,300,3,1.8,3,"['Bluetooth', 'Portable']",2
B00E58RQ8M,Canon,Canon PG 245 XL Black printer Ink Cartridge Compatible to iP2820  MG2420  MG2924  MG2920  MX492  MG3020  MG2525  TS3120  TS302  TS202  TR4520 1 Count  Pack of 1  PG 245XL,29,17,All Departments,231,4.7,30858,0,2,0,black,bluetooth,Inkjet,Color,0,45.36,1,1,1,['300'],1
B07N3FYTW5,HP,HP 910XL Black High yield Ink Cartridge   Works with HP OfficeJet 8010  8020 Series  HP OfficeJet Pro 8020  8030 Series   Eligible for Instant Ink   3YL65AN,93.17,17,Office Products,0,4.7,17786,0,0,0,white,bluetooth,Inkjet,Color,0,0,7.839467456,7.963402367,5.807751479,['825'],1
B0CJF75R7K,Moremore,Mini Sticker Printer  Inkless Thermal Printer with 10 Rolls Thermal Papers and Stickers for iOS Android  Mini Portable Printer for DIY  Scrapbook  Memo  Pictures  Notes  List Blue,28.99,20,Electronics,51240,4.5,37,0,2,0,blue,bluetooth,Thermal,Color,0,408.24,0.62,1.29,1.29,"['Wireless', ' Portable', ' Lightweight']",3
B0CFM82NS2,HP,HP OfficeJet Pro 9125e Wireless All in One Color Inkjet Printer  Print  scan  Copy  fax  ADF  Duplex Printing Best for Office  3 Months of Ink Included  403X0A ,249.99,16,Electronics,2431,3.4,73,0,2,0,cement,bluetooth,HP Thermal Inkjet,Color,18,9298.8,13.48,17.3,10.94,"['Forest First product with HP+; Recyclable through HP Planet Partners', ' HP+; HP Instant Ink eligible; Print from phone or tablet; Touchscreen; Smart Advance Scan; Instant Paper; Front USB flash drive port; Two-sided printing; Two-sided scanning; Automatic document feeder; Fax See more']",2
B08XZQVWZW,Canon,Canon PIXMA G620 Wireless MegaTank Photo All in One Printer  Print  Copy  Scan   Black Works with Alexa,299,15,Electronics,9820,4.4,560,0,2,0,black,wi-fi usb,Inkjet,Color,3.9,8164.8,17.6,19.1,10.1,['wireless'],1
B09ZVPQXSN,HP,HP Laserjet Tank 2504dw Wireless Black   White Monochrome Printer Prefilled with Up to 2 Years of Original HP Toner  2R7F4A  New version,149.99,13,Electronics,20933,3.9,1132,0,0,0,white,wi-fi,Laser,Color,0,6214.32,4.41,5.39,3.33,['Energy Star'],1
B09TRZLPXP,Canon,Canon PIXMA TR8620a   All in One Printer Home Office Copier Scanner Fax Auto Document Feeder   Photo  Document   Airprint  R   Android  Black  Works with Alexa,179,17,Electronics,1062,4.2,3566,0,0,0,black,wireless,Inkjet,Color,10,7892.64,13.8,17.3,7.5,"['Network-Ready', ' Auto Document Feeder', ' Touch Screen', ' Memory Card Slot']",4
B07X6WFH4B,Epson,Epson Workforce WF 110 Wireless Color Mobile Printer White  Small Black Printer WorkForce WF 110   New,93.17,10,Electronics,13514,4.3,756,0,0,0,black,wi-fi,Inkjet,Color,3.8,2086.56,9.1,12.2,8.5,['Portable'],1
B0BZH2CCSH,Ofeace,Sticker Printer  Mini Printer Portable Thermal Printer Inkless Pocket Printer Bluetooth Photo Printer for Learning Assistance  Study Notes  Journal  Fun  Work  Black ,19.99,20,Electronics,260472,4,46,0,2,0,black,bluetooth,Thermal,Color,0,240,2.76,3.74,4.13,['Portable'],1
B010J0OQBO,Gold Coast Dynamics,12 PACK SP 700 Ribbon Ink Cartridge Quality BLACK and RED Compatible with STAR Printer RC 700BR  SP700  712  742,19.95,12,Electronics,26272,4.6,443,0,2,0,other,bluetooth,other,Color,0,458.136,5.23,0.68,2.63,['Printer'],1
B092Y1HZKK,Brother,Brother LC406XLBK High Yield Black Ink Cartridge,58.98,6,Office Products,2586,4.6,578,0,0,0,black,bluetooth,Laser,Color,0,204.12,1,1,1,['High Yield'],1
B0CNT2F47B,EaseFusion,212XL Ink Cartridges Combo Pack  Nov  Upgrade Firmware  Remanufactured Replacement for Epson Printer Ink 212XL 212 XL T212XL for Workforce WF 2850 WF 2830 Expression XP 4105 XP 4100 Printer 5 Pack ,29.99,21,Electronics,0,3.8,4,0,2,0,other,bluetooth,other,Color,0,0,7.839467456,7.963402367,5.807751479,['600'],1
B0764NWFP9,Brother,Brother Monochrome Laser HLl2390DW  Wireless Networking  Duplex Printing Refresh Subscription with Free Trial and Amazon Dash Replenishment Read New Model  HLL2390DW,189.98,17,Electronics,5661,4.5,5684,0,2,0,black gray,wi-fi usb ethernet,Laser,Color,10,10296.72,16.1,15.7,10.7,['Auto-Duplex'],1
B0BJ33CJW4,ASprink,ASprink Bluetooth Shipping Label Printer 4x6   Wireless Thermal Label Printer for Shipping Packages   Desktop Label Printer for Small Business  Compatible with Chromebook  iPhone  UPS  Shopify White Purple,119.99,21,Electronics,1138,4.3,1980,7,2,0,white purple,bluetooth,Thermal,Color,0,1360.8,2.48,3.43,1.73,"['thermal printing', ' bluetooth and usb Connection']",2
B0CLNT35KW,HUIJUTCHEN,HUIJUTCHEN Mini Sticker Printer   Mini Pocket Printer for iPhone Thermal Printer with 10 Rolls Thermal Paper for Journal  Memo  Photo  Black,27.99,18,Electronics,23733,4.4,44,0,2,0,black,bluetooth,Inkless,Color,10,150.255,1.18,0.39,0.79,['Portable'],1
B0BK93ZSNC,beeprt,beeprt Bluetooth Shipping Label Printer   Wireless Thermal Label Printer for Shipping Package Small Business  4x6 Label Printer Compatible with Shopify Ebey Amazon Etsy FedEx UPS USPS,119.99,23,Electronics,24628,4,257,4,2,0,black,bluetooth,Thermal,Color,72,907.2,5.16,8.39,6.85,"['Wireless', 'Portable']",2
B00WR23WE0,HP,HP 63 Tri color Ink Cartridge   Works with HP DeskJet 1112  2130  3630 Series  HP ENVY 4510  4520 Series  HP OfficeJet 3830  4650  5200 Series   Eligible for Instant Ink   F6U61AN,33.89,21,Office Products,325,4.7,42490,0,0,0,white,bluetooth,Inkjet,Color,0,45.36,4,1,10,['150'],1
B08XBKYF4W,Printers Jack,Printers Jack 440ml Sublimation Ink for EcoTank Supertank Inkjet Printer ET 2400 ET 2720 ET 2760 ET 2800 ET 2803 ET 2830 ET 4800 ET 3760 ET 2850 ET 7720  Upgrade Version Offer Free ICC Printing 440ml Multicolor,32.99,22,Electronics,10468,4.8,304,0,2,0,other,bluetooth,other,Color,0,630.504,7.839467456,7.963402367,5.807751479,['Refill Ink'],1
B096N7TXR1,Epson,Epson EcoTank ET 3850 Wireless Color All in One Cartridge Free Supertank Printer with Scanner  Copier  ADF and Ethernet ‚   The Perfect Printer Home Office White ET 3850 Printer,369,18,Electronics,2725,4.2,1275,0,2,0,white,wi-fi usb,Inkjet,Color,8.5,8663.76,14.8,19.8,7.4,"['Refillable Ink Tank', ' Auto Document Feeder', ' Auto 2-sided Printing', ' Mobile Printing Capability']",4
B01644VWZM,HP,HP 62 Black Tri color Ink  2 pack    Works with HP ENVY 5540  5640  5660  7640 Series  HP OfficeJet 5740  8040 Series  HP OfficeJet Mobile 200  250 Series   Eligible for Instant Ink   N9H64FN,43.89,20,Office Products,78,4.7,25114,0,0,0,white,bluetooth,Inkjet,Color,0,90.72,1.86,4.82,6.44,['200'],1
B0BBP1N7JC,HP,HP DeskJet 2734e Wireless Color All in One Printer with 3 Months Free Ink  26K72A   White,93.17,11,Electronics,20433,4.2,2815,0,0,0,white,bluetooth wi-fi usb,Inkjet,Color,5.5,2766.96,40,47,23,['Scanning'],1
B0CHJC8KCR,Kimveway,61XL Ink Cartridges High Yield Replacement for HP 61 61XL Black and Color Combo Pack for HP DeskJet 1000  1010  1050  2050  3510  Envy 4500  5530  for Office Jet 2620  4630 Printer Ink Cartridges,31.29,24,Electronics,50898,4.1,13,0,2,0,other,bluetooth,other,Color,0,108.864,4.3,1.5,2.5,['620'],1
B09M6X53RK,Canon,Canon All in One Color Inkjet Wired Printer  Print Scan Copy for Home Office  up to 60 Sheets  600 x 1200 dpi  Portability  Lightweight  PIXMA MG2522  w USB Cable,58.99,19,Electronics,0,3.9,242,0,2,0,black,usb,Inkjet,Color,0,4420,5.75,7.09,2.99,['Lightweight'],1
B08VF3XRQ8,HP,HP Laserjet M209dw Wireless Printer  Fast Speeds  Mobile Print  2 mos Free Toner with Instant Ink  Best for Small Teams  6GW62F ,119,16,Electronics,0,4.3,288,0,0,0,gray,wi-fi,Laser,Color,0,5624.64,4.33,5.51,3.19,"['Auto-Duplex', ' Network-Ready', ' Energy Star Certified', ' Cloud Print Enabled', ' Works with Alexa']",5
B010A7TZ76,Canon,Canon Pixma MG3620 Wireless All In One Color Inkjet Printer with Mobile and Tablet Printing  Black Black Printer,54,13,Electronics,673,4.1,25759,0,0,0,black,wireless,Inkjet,Color,5.7,5397.84,12,17.7,6,['All-in-One Wireless Inkjet Printer'],1
B0B2F4P786,HP,HP LaserJet Pro 4001n Printer  Print  Fast speeds  Easy setup  Mobile printing  Advanced security  Best for small teams  Ethernet USB only,198,17,Electronics,12330,3.8,66,0,2,0,white,usb ethernet,Laser,Color,0,8210.16,5.54,5.91,3.35,"['Dual Paper Tray', ' HP Pro Wolf Security', ' Works with Alexa']",3
